,Gross domestic product 2016,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
USA,1,,United States," 18,624,475 ",,,,,
CHN,2,,China," 11,199,145 ",,,,,
JPN,3,,Japan," 4,940,159 ",,,,,
DEU,4,,Germany," 3,477,796 ",,,,,
GBR,5,,United Kingdom," 2,647,899 ",,,,,
FRA,6,,France," 2,465,454 ",,,,,
IND,7,,India," 2,263,792 ",,,,,
ITA,8,,Italy," 1,858,913 ",,,,,
BRA,9,,Brazil," 1,796,187 ",,,,,
CAN,10,,Canada," 1,529,760 ",,,,,
KOR,11,,"Korea, Rep."," 1,411,246 ",,,,,
RUS,12,,Russian Federation," 1,283,163 ",a,,,,
ESP,13,,Spain," 1,237,255 ",,,,,
AUS,14,,Australia," 1,204,616 ",,,,,
MEX,15,,Mexico," 1,046,923 ",,,,,
IDN,16,,Indonesia," 932,259 ",,,,,
TUR,17,,Turkey," 863,712 ",,,,,
NLD,18,,Netherlands," 777,228 ",,,,,
CHE,19,,Switzerland," 668,851 ",,,,,
SAU,20,,Saudi Arabia," 646,438 ",,,,,
ARG,21,,Argentina," 545,476 ",b,,,,
SWE,22,,Sweden," 514,460 ",,,,,
POL,23,,Poland," 471,364 ",,,,,
BEL,24,,Belgium," 467,956 ",,,,,
IRN,25,,"Iran, Islamic Rep."," 418,977 ",,,,,
THA,26,,Thailand," 407,026 ",,,,,
NGA,27,,Nigeria," 404,653 ",,,,,
AUT,28,,Austria," 390,800 ",,,,,
NOR,29,,Norway," 371,076 ",,,,,
ARE,30,,United Arab Emirates," 348,743 ",,,,,
EGY,31,,"Egypt, Arab Rep."," 332,791 ",,,,,
HKG,32,,"Hong Kong SAR, China"," 320,914 ",,,,,
ISR,33,,Israel," 317,745 ",,,,,
DNK,34,,Denmark," 306,900 ",,,,,
PHL,35,,Philippines," 304,905 ",,,,,
IRL,36,,Ireland," 304,819 ",,,,,
SGP,37,,Singapore," 296,976 ",,,,,
MYS,38,,Malaysia," 296,536 ",,,,,
ZAF,39,,South Africa," 295,456 ",,,,,
COL,40,,Colombia," 282,463 ",,,,,
PAK,41,,Pakistan," 278,913 ",,,,,
CHL,42,,Chile," 247,028 ",,,,,
FIN,43,,Finland," 238,503 ",,,,,
BGD,44,,Bangladesh," 221,415 ",,,,,
VNM,45,,Vietnam," 205,276 ",,,,,
PRT,46,,Portugal," 204,837 ",,,,,
CZE,47,,Czech Republic," 195,305 ",,,,,
GRC,48,,Greece," 192,691 ",,,,,
PER,49,,Peru," 192,207 ",,,,,
ROU,50,,Romania," 187,592 ",,,,,
NZL,51,,New Zealand," 184,969 ",,,,,
IRQ,52,,Iraq," 171,489 ",,,,,
DZA,53,,Algeria," 159,049 ",,,,,
QAT,54,,Qatar," 152,452 ",,,,,
KAZ,55,,Kazakhstan," 137,278 ",,,,,
HUN,56,,Hungary," 125,817 ",,,,,
KWT,57,,Kuwait," 110,876 ",,,,,
MAR,58,,Morocco," 103,606 ",c,,,,
ECU,59,,Ecuador," 98,614 ",,,,,
SDN,60,,Sudan," 95,584 ",,,,,
AGO,61,,Angola," 95,335 ",,,,,
UKR,62,,Ukraine," 93,270 ",a,,,,
SVK,63,,Slovak Republic," 89,769 ",,,,,
CUB,64,,Cuba," 87,133 ",,,,,
LKA,65,,Sri Lanka," 81,322 ",,,,,
ETH,66,,Ethiopia," 72,374 ",,,,,
DOM,67,,Dominican Republic," 71,584 ",,,,,
KEN,68,,Kenya," 70,529 ",,,,,
GTM,69,,Guatemala," 68,763 ",,,,,
UZB,70,,Uzbekistan," 67,220 ",,,,,
OMN,71,,Oman," 66,293 ",,,,,
MMR,72,,Myanmar," 63,225 ",,,,,
LUX,73,,Luxembourg," 58,631 ",,,,,
CRI,74,,Costa Rica," 57,436 ",,,,,
PAN,75,,Panama," 55,188 ",,,,,
BGR,76,,Bulgaria," 53,238 ",,,,,
URY,77,,Uruguay," 52,420 ",,,,,
HRV,78,,Croatia," 50,715 ",,,,,
LBN,79,,Lebanon," 49,599 ",,,,,
BLR,80,,Belarus," 47,407 ",,,,,
TZA,81,,Tanzania," 47,340 ",d,,,,
MAC,82,,"Macao SAR, China"," 44,803 ",,,,,
SVN,83,,Slovenia," 44,709 ",,,,,
LTU,84,,Lithuania," 42,739 ",,,,,
GHA,85,,Ghana," 42,690 ",,,,,
TUN,86,,Tunisia," 42,063 ",,,,,
JOR,87,,Jordan," 38,655 ",,,,,
SRB,88,,Serbia," 38,300 ",,,,,
AZE,89,,Azerbaijan," 37,848 ",,,,,
CIV,90,,Côte d'Ivoire," 36,373 ",,,,,
TKM,91,,Turkmenistan," 36,180 ",,,,,
BOL,92,,Bolivia," 33,806 ",,,,,
CMR,93,,Cameroon," 32,217 ",,,,,
BHR,94,,Bahrain," 32,179 ",,,,,
COD,95,,"Congo, Dem. Rep."," 31,931 ",,,,,
LVA,96,,Latvia," 27,573 ",,,,,
PRY,97,,Paraguay," 27,424 ",,,,,
YEM,98,,"Yemen, Rep."," 27,318 ",,,,,
SLV,99,,El Salvador," 26,797 ",,,,,
UGA,100,,Uganda," 24,079 ",,,,,
EST,101,,Estonia," 23,338 ",,,,,
TTO,102,,Trinidad and Tobago," 21,895 ",,,,,
HND,103,,Honduras," 21,517 ",,,,,
NPL,104,,Nepal," 21,132 ",,,,,
ZMB,105,,Zambia," 21,064 ",,,,,
PNG,106,,Papua New Guinea," 20,213 ",,,,,
ISL,107,,Iceland," 20,047 ",,,,,
CYP,108,,Cyprus," 20,047 ",e,,,,
KHM,109,,Cambodia," 20,017 ",,,,,
AFG,110,,Afghanistan," 19,469 ",,,,,
