"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Population ages 0-14, male","SP.POP.0014.MA.IN","11871","12027","12098","12102","12050","11957","11884","11748","11577","11398","11227","10941","10693","10442","10140","9771","9537","9211","8824","8455","8161","8020","7958","7959","7971","7931","8001","7967","7882","7863","8016","8160","8475","8890","9269","9527","9913","10181","10361","10516","10675","10752","10821","10863","10846","10782","10795","10803","10813","10818","10816","10671","10502","10307","10112","9940","9738","",
"Afghanistan","AFG","Population ages 0-14, male","SP.POP.0014.MA.IN","1902102","1953770","2004991","2056805","2109868","2164336","2230902","2296118","2361632","2429402","2500443","2586012","2670592","2752541","2828915","2895936","2971911","3041295","3095246","3120758","3108311","3084506","3032367","2964752","2901803","2861857","2828047","2807139","2818221","2885340","3027113","3215575","3465236","3748182","4017801","4235769","4428537","4577779","4702525","4839421","5018100","5224742","5459334","5706477","5939125","6135501","6354940","6545864","6717432","6886070","7064712","7211629","7355870","7491378","7609957","7705172","7799417","",
"Angola","AGO","Population ages 0-14, male","SP.POP.0014.MA.IN","1247860","1284907","1326637","1369104","1405521","1432632","1466072","1489440","1507132","1526190","1551047","1589051","1630981","1676746","1724810","1774359","1836492","1898247","1961348","2027942","2099196","2186742","2275155","2362868","2446880","2524295","2607557","2684949","2758408","2831308","2906954","3004010","3100065","3194720","3286316","3372805","3470724","3562744","3652919","3747116","3850506","3979313","4115195","4258300","4407435","4561469","4738108","4916734","5098723","5285323","5476843","5687344","5898038","6108688","6318119","6524722","6737022","",
"Albania","ALB","Population ages 0-14, male","SP.POP.0014.MA.IN","331709","345166","358688","371975","384702","396318","408015","418599","429159","439400","447728","454771","462234","468817","474279","478786","483560","487125","489368","491430","494493","497893","502484","507727","513401","519405","525846","533625","540962","551301","554000","552018","547633","541560","536024","533026","518471","507738","499236","490479","479693","466692","454482","440333","425658","411090","395037","379817","365608","352647","341151","323611","308154","294065","281127","269306","264717","",
"Andorra","AND","Population ages 0-14, male","SP.POP.0014.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 0-14, male","SP.POP.0014.MA.IN","20474756","21220847","21968855","22714950","23451604","24175075","24985063","25766339","26527645","27277773","28018919","28828363","29609494","30391379","31213735","32106009","33078674","34118572","35205689","36303274","37383160","38518763","39627553","40719391","41812723","42916764","44115341","45291729","46448692","47570570","49122049","50164535","50808415","51697815","52458484","53333897","53904320","54382110","54794810","55194780","55605204","55929452","56277343","56662775","57099411","57599667","58171866","58789250","59489168","60308398","61261688","62412899","63700279","65075093","66439125","67718785","69022434","",
"United Arab Emirates","ARE","Population ages 0-14, male","SP.POP.0014.MA.IN","20663","22143","24276","26659","28797","30486","31521","32467","34172","37637","43568","47637","53078","60246","69499","81016","91717","104215","118922","134470","148938","164563","178833","193003","208552","226398","240704","254549","268308","281627","294010","303605","313817","324175","333865","342806","355659","368079","383683","403297","425535","408854","394308","390277","403534","435947","449583","475776","511135","544972","566011","603813","620590","626891","633314","643820","656819","",
"Argentina","ARG","Population ages 0-14, male","SP.POP.0014.MA.IN","3218108","3263813","3305527","3343075","3376456","3405986","3438656","3467494","3495270","3526189","3563361","3611052","3665605","3725459","3788700","3854311","3935410","4024941","4120269","4216378","4310196","4417180","4504523","4580947","4658862","4742875","4802060","4879594","4961976","5029681","5074558","5124272","5149239","5157834","5164766","5177098","5193163","5210062","5228724","5248003","5267548","5279112","5299407","5323320","5343827","5357739","5379721","5390355","5395784","5405747","5424891","5444634","5474453","5509382","5540734","5563874","5588155","",
"Armenia","ARM","Population ages 0-14, male","SP.POP.0014.MA.IN","366637","391798","415821","438067","457909","474760","488269","497719","503629","507231","509445","506918","505426","504104","501467","496922","493941","488673","482904","479177","478618","480801","485850","492971","500829","508668","518016","527927","536557","541158","539325","532877","520698","505020","489332","476157","460944","447693","435494","423067","409874","392426","376468","361825","348314","335790","325827","316223","307814","301857","299090","298949","300324","302975","306156","309146","310873","",
"American Samoa","ASM","Population ages 0-14, male","SP.POP.0014.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
