"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Population ages 15-64, female","SP.POP.1564.FE.IN","14934","15392","15725","15989","16243","16519","16782","17084","17416","17738","18039","18439","18798","19148","19478","19801","19921","20064","20240","20466","20719","21034","21412","21774","22028","22138","21835","21454","21167","21147","21509","22548","23929","25474","26975","28321","29362","30265","31082","31885","32728","33627","34552","35458","36256","36890","37176","37223","37102","36936","36798","36939","37175","37462","37723","37915","38068","",
"Afghanistan","AFG","Population ages 15-64, female","SP.POP.1564.FE.IN","2342556","2381878","2432742","2491410","2552350","2612975","2660786","2710039","2762506","2821845","2889847","2951204","3020345","3093656","3166919","3237381","3286735","3332217","3365979","3379334","3368857","3300022","3206912","3103131","3005099","2924074","2866097","2836536","2842262","2890526","2982012","3153560","3381418","3636726","3885933","4109554","4265811","4386748","4494318","4616421","4770270","4976382","5222718","5492974","5765574","6026390","6218251","6391338","6559469","6742579","6954744","7224774","7534593","7873749","8225550","8578325","8920039","",
"Angola","AGO","Population ages 15-64, female","SP.POP.1564.FE.IN","1542260","1557374","1569185","1581059","1598935","1625588","1643313","1671324","1707409","1747405","1789110","1825022","1865332","1909546","1958103","2011104","2055853","2106740","2163803","2227275","2297263","2363557","2440057","2522773","2607262","2691400","2759920","2827498","2898522","2978721","3071203","3161094","3267762","3385750","3508216","3631623","3736978","3845869","3961570","4088473","4228941","4369310","4525724","4695350","4874886","5062112","5239336","5427012","5624665","5832695","6051613","6267848","6499427","6743066","6995004","7253766","7515126","",
"Albania","ALB","Population ages 15-64, female","SP.POP.1564.FE.IN","418396","428342","438238","448232","459112","471051","483324","497571","514577","533015","550398","568364","587071","605734","625324","646485","666956","689230","711729","733860","756189","778255","801089","823885","846496","868560","888727","908877","928570","958285","983619","983578","987291","992969","997238","997374","993424","984904","974129","964628","958797","956059","962402","970047","977592","983353","987004","986950","984743","981738","978932","982229","985492","988124","989926","989616","987613","",
"Andorra","AND","Population ages 15-64, female","SP.POP.1564.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 15-64, female","SP.POP.1564.FE.IN","24570253","25060538","25581623","26143904","26766615","27460350","28120806","28872219","29692022","30552026","31439752","32248669","33109041","34030565","35026912","36105547","37211521","38407011","39681819","41026796","42434462","43839407","45315165","46848742","48423691","50030757","51540829","53091786","54683304","56328666","58526089","60315919","61695897","63697802","65772342","68327776","70498966","72725581","74986934","77293999","79648791","82006523","84408205","86867497","89401539","92015927","94700451","97479258","100305051","103107688","105841914","108428045","110928298","113358955","115765031","118178262","120465052","",
"United Arab Emirates","ARE","Population ages 15-64, female","SP.POP.1564.FE.IN","23820","25151","26858","28832","30891","32919","34800","36657","38807","41705","45692","52093","60046","69373","79794","90980","105478","120870","136463","152080","167854","186842","206037","224909","243169","260864","276894","292952","309654","327914","348357","372428","398866","427226","456681","486420","511446","537343","563174","589346","617674","669574","723001","781970","852655","938850","1050899","1179812","1314283","1440453","1549474","1623465","1680652","1725987","1767612","1812225","1862781","",
"Argentina","ARG","Population ages 15-64, female","SP.POP.1564.FE.IN","6444328","6552457","6662439","6774404","6888571","7004785","7116808","7231942","7350228","7471167","7594347","7718971","7846508","7975056","8101601","8223417","8331901","8432217","8527721","8625508","8730454","8820859","8933115","9058804","9185532","9307924","9452697","9582898","9709652","9849295","10008243","10157842","10328889","10512407","10693684","10865442","11026262","11182065","11334011","11486284","11641202","11805103","11965612","12125136","12286638","12450693","12605103","12767153","12932024","13092372","13244581","13396861","13541363","13680383","13818767","13958482","14092994","",
"Armenia","ARM","Population ages 15-64, female","SP.POP.1564.FE.IN","546443","557377","570459","585277","601105","617777","635911","655572","677027","700405","725584","755564","785810","816288","847270","878691","907159","936457","965387","992465","1017096","1038642","1056709","1072625","1088608","1105773","1125490","1146168","1163756","1173570","1173603","1159539","1136705","1109616","1084336","1064879","1056162","1054278","1057130","1061036","1063274","1065859","1065898","1064753","1064710","1066918","1067608","1070827","1075398","1079496","1082168","1083906","1085355","1086008","1085843","1084851","1082846","",
"American Samoa","ASM","Population ages 15-64, female","SP.POP.1564.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
